ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
1	98	ALL	quíyoo	todo	todo	todo-1
2	646	ASH	córo	ceniza	ceniza	ceniza-1
3	646	ASH	chíhimapó	ceniza	ceniza	ceniza-2
4	1204	BARK	ráxvii	corteza	corteza	corteza-1
5	1251	BELLY	póco	barriga	barriga	barriga-1
6	1251	BELLY	chinxantó	vientre	vientre	vientre-1
7	1251	BELLY	xánquin	vientre	vientre	vientre-2
8	1202	BIG	tóha	grande	grande	grande-1
9	937	BIRD	póhiyá	ave	ave	ave-1
10	937	BIRD	hítzaa	pájaro	pájaro	pajaro-1
11	1403	BITE	chancánquin	morder	morder	morder-1
12	1403	BITE	nátux quín	morder	morder	morder-2
13	1403	BITE	píquin	morder	morder	morder-3
14	1403	BITE	túxaquín	morder	morder	morder-4
15	163	BLACK	cháho	negro; sucio	negro	negro-1
16	163	BLACK	cúchux	negro	negro	negro-2
17	946	BLOOD	jimí	sangre	sangre	sangre-1
18	1394	BONE	xaó	hueso	hueso	hueso-1
19	1402	BREAST				
20	2102	BURN				
21	72	CLAW				
22	1489	CLOUD	nai-cóhin	nube	nube	nube-1
23	1287	COLD	matzí  hacer frío durante algunos	frío	frío	frio-1
24	1446	COME	jóhi	venir	venir	venir-1
25	1446	COME	jóvanhí	salir; venir	venir	venir-2
26	1446	COME	shínanvúhqui	venir	venir	venir-3
27	1446	COME	vúhi	venir	venir	venir-4
28	1494	DIE	náhi	morir	morir	morir-1
29	1494	DIE	nócahí	morir	morir	morir-2
30	1494	DIE	rúzohí	morir; terminar	morir	morir-3
31	1494	DIE	coshtóóhca	morir; saliva	morir	morir-4
32	2009	DOG	hinó	perro; tigre	perro	perro-1
33	1401	DRINK	háyaquín	beber; tomar	beber	beber-1
34	1398	DRY	choshí	seco	seco	seco-1
35	1398	DRY	póto	polvo; seco	seco	seco-2
36	1398	DRY	táno	seco	seco	seco-3
37	1398	DRY	xána	seco	seco	seco-4
38	1247	EAR	pavínqui	oreja	oreja	oreja-1
39	1228	EARTH (SOIL)	maí	tierra	tierra	tierra-1
40	1228	EARTH (SOIL)	nutú	día; luz; tierra	tierra	tierra-2
41	1336	EAT	cócoquín	comer	comer	comer-1
42	1336	EAT	háqui	hacer; comer; usar	comer	comer-2
43	1336	EAT	jírihí	comer	comer	comer-3
44	1336	EAT	mócoquín	comer	comer	comer-4
45	1336	EAT	náihí	comer	comer	comer-5
46	1336	EAT	 píquin	comer	comer	comer-6
47	744	EGG	vachí	falda; huevo; mosquitero; pampanilla	huevo	huevo-1
48	1248	EYE	vúro	ojo; semilla	ojo	ojo-1
49	323	FAT (ORGANIC SUBSTANCE)				
50	1201	FEATHER	púhi	hoja; pluma	pluma	pluma-1
51	221	FIRE	chíhi	candela; fuego	fuego	fuego-1
52	221	FIRE	júruu	fuego	fuego	fuego-2
53	227	FISH				
54	2615	FLESH OR MEAT	námi	carne; pariente	carne	carne-1
55	1441	FLY (MOVE THROUGH AIR)				
56	1301	FOOT	táhu	pie	pie	pie-1
57	1429	FULL	vópa	lleno	lleno	lleno-1
58	1429	FULL	yaní	lleno; satisfecho	lleno	lleno-2
59	1447	GIVE	hínanquín	dar	dar	dar-1
60	1447	GIVE	humanquín	dar	dar	dar-2
61	1035	GOOD	sháraa	bonito; bueno	bueno	bueno-1
62	1035	GOOD	shínanyá	amable; bueno	bueno	bueno-2
63	1425	GREEN	macó	tierno; verde	verde	verde-1
64	1425	GREEN	mápax	verde	verde	verde-2
65	1425	GREEN	xóó	tierno; verde	verde	verde-3
66	1425	GREEN	xóvii	canal; hueco; tierno; verde	verde	verde-4
67	1040	HAIR	vóó	cabello; pelo	pelo	pelo-1
68	1040	HAIR	píshcan-ránti	pelo	pelo	pelo-2
69	1277	HAND	múcun	dedos; mano	mano	mano-1
70	1256	HEAD	mápo	cabeza	cabeza	cabeza-1
71	1408	HEAR	níncaaquín	entender; escuchar; obedecer; oír	oír	oir-1
72	1223	HEART	jóvintí	corazón	corazón	corazon-1
73	1393	HORN (ANATOMY)	manxo	cuerno	cuerno	cuerno-1
74	2272	HOT OR WARM				
75	1209	I	hún	yo	yo	yo-1
76	1417	KILL	hayánquin	matar	matar	matar-1
77	1417	KILL	rútuquín	matar	matar	matar-2
78	1371	KNEE	rántoncó	rodilla	rodilla	rodilla-1
79	1410	KNOW (SOMETHING)	honanhí	saber	saber	saber-1
80	628	LEAF	púhi	hoja; pluma	hoja	hoja-1
81	1411	LIE (REST)				
82	1224	LIVER	tacá	hígado	hígado	higado-1
83	1203	LONG	chaíí	alto; largo	largo	largo-1
84	1392	LOUSE	híya	me; mí; piojo; pulga	piojo	piojo-1
85	1554	MAN	jochí	hermano mayor; hombre	hombre	hombre-1
86	1554	MAN	joní	hombre	hombre	hombre-2
87	1198	MANY	cáhtin	mucho	mucho	mucho-1
88	1198	MANY	hicha	mucho	mucho	mucho-2
89	1198	MANY	náha	bastante; mucho; nido	mucho	mucho-3
90	1313	MOON	hóxu	luna; mes	luna	luna-1
91	639	MOUNTAIN	cárunnáha	cerro	cerro	cerro-1
92	639	MOUNTAIN	máchi	cerro	cerro	cerro-2
93	639	MOUNTAIN	mánan	cerro	cerro	cerro-3
94	674	MOUTH	cúxaa	boca; labio	boca	boca-1
95	1405	NAME	jánu	aroma; nombre	nombre	nombre-1
96	1333	NECK	túxo	cuello	cuello	cuello-1
97	1231	NEW	vúnaa	nuevo	nuevo	nuevo-1
98	1233	NIGHT	yámuu	noche	noche	noche-1
99	1221	NOSE	rúquin	nariz	nariz	nariz-1
100	1240	NOT				
101	1493	ONE				
102	683	PERSON				
103	2108	RAINING OR RAIN	hovíhqui	llover	llover	llover-1
104	156	RED	vínshin	rojo	rojo	rojo-1
105	667	ROAD				
106	670	ROOT	tápon	raíz	raíz	raiz-1
107	1395	ROUND	múchii	redondo	redondo	redondo-1
108	1395	ROUND	tóro	bajito; corto; redondo	redondo	redondo-2
109	671	SAND	míshpoo	arena; playa	arena	arena-1
110	1458	SAY	yóhiquín	decir	decir	decir-1
111	1409	SEE	hiinhí	mirar; ver	ver	ver-1
112	714	SEED	juxú	semilla	semilla	semilla-1
113	714	SEED	vúro	ojo; semilla	semilla	semilla-2
114	1416	SIT	cútaxámuhqui	sentarse	sentarse	sentarse-1
115	1416	SIT	mániihí	sentarse	sentarse	sentarse-2
116	1416	SIT	quíztoohí	sentarse	sentarse	sentarse-3
117	1416	SIT	tzáhoohí	sentarse	sentarse	sentarse-4
118	1416	SIT	vúnohí	perderse; sentarse	sentarse	sentarse-5
119	1416	SIT	tzáhoohá	sentado	sentado	sentado-1
120	763	SKIN	xácaa	bagazo; cangrejo; cáscara; cuero; piel	piel	piel-1
121	1585	SLEEP	hóxahí	adormecer; dormir	dormir	dormir-1
122	1246	SMALL	jaztó	pequeño; poco	pequeño	pequeno-1
123	1246	SMALL	míshtin	pequeño; poco	pequeño	pequeno-2
124	1246	SMALL	píshta	pedazo; pequeño; poco	pequeño	pequeno-3
125	778	SMOKE (EXHAUST)	cohin	humo	humo	humo-1
126	1442	STAND	jásharááhi	alegre;  estar-	 estar-	estar-1
127	1442	STAND	tóhohí	 estar;  estar; concebir; encinta; preñada	 estar	estar-2
128	1442	STAND	-hózahí (Vea agujerear)	 estar; entumecido	 estar	estar-3
129	1442	STAND	jáhi	estar; ser; vivir	estar	estar-4
130	1442	STAND	vúro-páznaa hí	 estar; mareado	 estar	estar-5
131	1442	STAND	vachínhqui	 estar; molesto; reñir	 estar	estar-6
132	1442	STAND	zínááhqui	 estar; molesto	 estar	estar-7
133	1442	STAND	tóhohí	 estar;  estar; concebir; encinta; preñada	 estar	estar-8
134	1442	STAND	rúxohí	 estar; pasar; resfriado	 estar	estar-9
135	1430	STAR	vishí	estrella	estrella	estrella-1
136	857	STONE	máncan	piedra; roca	piedra	piedra-1
137	857	STONE	máxax	piedra	piedra	piedra-2
138	1343	SUN	vári	sol	sol	sol-1
139	1439	SWIM	náxihií	nadar	nadar	nadar-1
140	1439	SWIM	vúhaquín	nadar; sacar	nadar	nadar-2
141	1220	TAIL				
142	78	THAT				
143	1214	THIS	vári-cainháín	este	este	este-1
144	1215	THOU	min	tú	tú	tu-1
145	1215	THOU	míya	ti; tú	tú	tu-2
146	1215	THOU	mín	usted	usted	usted-1
147	1205	TONGUE	jána	lengua; suyo	lengua	lengua-1
148	1205	TONGUE	jóvi	amahuaca;  palabra o idioma; idioma; lengua; palabra	lengua	lengua-2
149	1205	TONGUE	yóvan	amahuaca;  palabra o idioma; idioma; lengua; palabra	lengua	lengua-3
150	1380	TOOTH	xutá	diente	diente	diente-1
151	906	TREE	jíí	árbol; madera	árbol	arbol-1
152	1498	TWO	rávuu	dos	dos	dos-1
153	1443	WALK	cáhi	andar; ir	andar	andar-1
154	1443	WALK	chíruxcúhi	andar	andar	andar-2
155	1443	WALK	híyaaváhinhqui	andar	andar	andar-3
156	1443	WALK	vóhi	andar; ir; lupuna	andar	andar-4
157	948	WATER	junú	agua; caldo; jugo; líquido; río	agua	agua-1
158	948	WATER	vacónhma	agua	agua	agua-2
159	1212	WE	nócu	nosotros	nosotros	nosotros-1
160	1212	WE	non	nosotros	nosotros	nosotros-2
161	1236	WHAT	jáú	cómo; qué	qué	que-1
162	1335	WHITE	joxó	blanco	blanco	blanco-1
163	1235	WHO	tzóva	quién	quién	quien-1
164	962	WOMAN	xáno	mujer	mujer	mujer-1
165	1424	YELLOW	pánshin	amarillo	amarillo	amarillo-1
