ID,Language_ID,Headword,Part_Of_Speech,1st_Person_Singular,2nd_Person_Singular,3rd_Person_Dual,3rd_Person_Singular,Dialectal_Variant,Encyclopedic_Information,Entry_IDs,Etymological_Source,Etymology,Lexical_Citation_Form,Paradigm,Reduplicated_Form,Usage
ledaa,Daakaka,ledaa,n,,,,,,flaoa blong hem i saen blong wok long karen,,,,,,,
ledera,Daakaka,ledera,n,,,,,,"Fren blong ledaa, frut blong hem i saen blong kakae long karen i redi blong harvest.",,,,,,,
lee,Daakaka,lee,n,,,,,,,,,,,2,,
lee_buowuo,Daakaka,lee buowuo,n,,,,,,,,,,,,,
lee_byavya,Daakaka,lee byavya,n,,,,,,,byavya,,,,,,
leevi,Daakaka,leevi,n,,,,,,,,,,,,,
LX000025,Daakaka,leevyó,n,,,,,,,,,,,1,,
lemap,Daakaka,lemap,n,,,,,,,map,,,,,,
lemase,Daakaka,lemase,n,,,,,,,mase,,,,,,
lemedaa,Daakaka,lemedaa,n,,,,,,,,,,,,,
lemuo,Daakaka,lemuo,n,,,,,,,,,,,,,
leplep,Daakaka,leplep,adj,,,,,,,,,,,,,
lesas,Daakaka,lesas,n,,,,,,,,,,,,,
letako,Daakaka,letako,n,,,,,,,tako,,,,,,
levene,Daakaka,levene,v,,,,,,,,,,,,,
LX000026,Daakaka,levenó,n,,,,,,,,,,,,,
levep,Daakaka,levep,n,,,,,,,vep,,,,,,
levyak,Daakaka,levyak,n,,,,,,Yang lif blong hem i saen blong kabij i gru gud.,,,,,,,
levyao,Daakaka,levyao,n,,,,,,,vyao,,,,,,
levyasvyas,Daakaka,levyasvyas,n,,,,,,,,,,,,,
levyuk,Daakaka,levyuk,n,,,,,,,,,,,,,
lewaa,Daakaka,lewaa,n,,,,,,,,,,,,,
lewedrame,Daakaka,lewedrame,n,,,,,,,wedrame,,,,,,
leweebwis,Daakaka,leweebwis,n,,,,,,,,,,,,,
leweka,Daakaka,leweka,n,,,,,,,weka,,,,,,
lewep_1,Daakaka,lewep,n,,,,,,,,,,,,,
lewep_2,Daakaka,lewep,n,,,,,,,wep,,,,,,
lewes,Daakaka,lewes,NA,,,,,,,wes,,,,,,
lewewedrame,Daakaka,lewewedrame,n,,,,,,,wedrame,,,,,,
lewewo,Daakaka,lewewo,n,,,,,,,,,,,,,
li-,Daakaka,li-,n,,,,,,,,,,,,,
libilip,Daakaka,libilip,n,,,,,,,bilip,,,,,,
libilye,Daakaka,libilye,n,,,,,,,,,,,,,
lii,Daakaka,lii,n,,,,,,,,,,,,,
lili,Daakaka,lili,v,,,,,,,,,,,,,
-lili,Daakaka,-lili,res,,,,,,,,,,,,,
lilisi,Daakaka,lilisi,n.rel,,,,,,,,,,,,,
liliwi,Daakaka,liliwi,n,,,,,,,,,,,,,
lim,Daakaka,lim,num,,,,,,,,,,,,,
limyaek,Daakaka,limyaek,n,,,,,,,,,,,,,
ling,Daakaka,ling,v,,,,,,,,,,,,,
ling_1,Daakaka,ling,v,,,,,,,,,,,,,
ling_daa,Daakaka,ling daa,v,,,,,,,,,,,,,
lingi,Daakaka,lingi,v,,,,,,,,,,,,,
lingkilye,Daakaka,lingkilye,v.tr,,,,,,,,,,,,,
lingkone,Daakaka,lingkone,v,,,,,,,,,,,,,
lingkowilyene,Daakaka,lingkowilyene,v,,,,,,,,,,,,,
lingsene,Daakaka,lingsene,v.tr,,,,,,,,,,,,,
lip,Daakaka,lip,v,,,,,,,,,,,,,
liplip,Daakaka,liplip,n,,,,,,,,,,,,,
lipti,Daakaka,lipti,n,,,,,,,,Bislama,,,,,
lipton,Daakaka,lipton,n,,,,,,,,Bislama,,,,,
lisepsep,Daakaka,lisepsep,n,,,,,,"in many custom stories, the adversary of the main characters is a lisepsep who is either sabotaging their efforts or, in the case of animals characters, trying to eat them.",,,,,,,
liskate,Daakaka,liskate,v,,,,,,,,,,,,,
lisye,Daakaka,lisye,n,,,,,,,,,,,,,
lisye_1,Daakaka,lisye,v,,,,,,,,,,,,,
livis,Daakaka,livis,n,,,,,,,,,,,,,
livis_1,Daakaka,livis,n,,,,,,,vis,,,,,,
livyer,Daakaka,livyer,n,,,,,,,,,,,,,
liyaa,Daakaka,liyaa,n,,,,,,,,,,,,,
liye,Daakaka,liye,v,,,,,,,tilya,,,,,,
liyep,Daakaka,liyep,n,,,,,,,,,,,,,
liyepkuwu,Daakaka,liyepkuwu,v,,,,,,,liye ; syo,,,,,,
liyes,Daakaka,liyes,v,,,,,,,,,,,,,
liyoo,Daakaka,liyoo,n,,,,,,,,,,,,,
lo-,Daakaka,lo-,gram,,,,,,,,,,,,,
lok,Daakaka,lok,n,,,,,,,yuk,,,,,,
loklok,Daakaka,loklok,n,,,,,,,,,,,,,
lokvyaru,Daakaka,lokvyaru,n,,,,,,,,,,,,,
longlong,Daakaka,longlong,n,,,,,,,,,,,,,
looloo,Daakaka,looloo,adj1,,,,,,,,,,,,,
lopital,Daakaka,lopital,n,,,,,,,,French,,,,,
lowotop,Daakaka,lowotop,n,,,,,,,wotop,,,,,,
lu,Daakaka,lu,n,,,,,,,,,,,,,
lu_1,Daakaka,lu,v,,,,,,,,,,,,,
lu-,Daakaka,lu-,n,,,,,,,,,,,,,
luk,Daakaka,luk,v,,,,,,,,,,,,,
lukluk,Daakaka,lukluk,v,,,,,,,,,,,,,
lulu,Daakaka,lulu,v,,,,,,,,,,,,,
lum,Daakaka,lum,n,,,,,,,,,,,,,
lumane,Daakaka,lumane,v.tr,,,,,,,,,,,,,
lung,Daakaka,lung,v,,,,,,,lungu,,,,,,
lungu,Daakaka,lungu,v,,,,,,,,,,,,,
luu,Daakaka,luu,n.rel,,,,,,,,,,,,,
luue,Daakaka,luue,n,,,,,,,,,,,,,
luw,Daakaka,luw,n.rel.b,luwuk,luwum,,,,,ep,,,luwun,u,,
luwa,Daakaka,luwa,v,,,,,,,,,,,,,
luwu,Daakaka,luwu,v,,,,,,,,,,,,,
luwu_1,Daakaka,luwu,n.rel,,,,,,,,,,,,,
luwuo,Daakaka,luwuo,v,,,,,,,,,,,,,
ly,Daakaka,ly,n.rel,,,,,,,,,,,,,
ly-,Daakaka,ly-,n.rel.b,lik,lyem,,,,,,,,,,,
lye,Daakaka,lye,n.rel,,,,,,,,,,,,,
lye_1,Daakaka,lye,v,,,,,,,,,,,,,
lyep,Daakaka,lyep,v,,,,,,,,,,,,,
lyoo,Daakaka,lyoo,v,,,,,,,,,,,,,
lyung,Daakaka,lyung,v,,,,,,,,,,,,,
LX000027,Daakaka,lyunglyung tóór,v,,,,,,,LX000076,,,,,,
LX000028,Daakaka,ló,num,,,,,,,,,,,,,
LX000029,Daakaka,ló-,gram,,,,,,,,,,,,,
LX000030,Daakaka,lókoo,n,,,,,,,,,,,,,
LX000031,Daakaka,lówó,n,,,,,,,,,,,,,
LX000032,Daakaka,lóó,n,,,,,,,LX000094,,,,,,
m-,Daakaka,m-,gram,,,,,,,,,,,,,
-m,Daakaka,-m,tam,,,,,,,,,,,,,
ma,Daakaka,ma,tam,,,,,,,,,,,,,
maa_1,Daakaka,maa,n,,,,,,,,,,,,,
maa_2,Daakaka,maa,v.tr,,,,,,,,,,,,,
maawane,Daakaka,maawane,v,,,,,,,,,,,,,
mad,Daakaka,mad,n.rel.b,meduk,madum,,,,,,,,madun,u,,
mae,Daakaka,mae,n,,,,,,,,,,,,,
maga,Daakaka,maga,adj1,,,,,,,,,,,,,
magic,Daakaka,magic,n,,,,,,,,Bislama,,,,,
maguru,Daakaka,maguru,n,,,,,,,,Bislama,,,,,
mais,Daakaka,mais,n,,,,,,,,,,,,,
mak,Daakaka,mak,n,,,,,,,,,,,,,
mal,Daakaka,mal,n,,,,,,,,,,,,,
LX000033,Daakaka,malelé,n,,,,,,,,,,,,,
mama,Daakaka,mama,n,,,,,,,,,,,,,
mamesi,Daakaka,mamesi,n,,,,,,,ding,,,,,,
man,Daakaka,man,adj2,,,,,,,,Bislama,,,,,
mango,Daakaka,mango,n,,,,,,,,Bislama,,,,,
mani,Daakaka,mani,n,,,,,,,,Bislama,,,,,
map,Daakaka,map,n,,,,,,,,,,,,,
map_1,Daakaka,map,v.itr,,,,,,,,,,,,,
-mar,Daakaka,-mar,res,,,,,,,,,,,,,
mariuana,Daakaka,mariuana,n,,,,,,,,Bislama,,,,,
marmar,Daakaka,marmar,v,,,,,,,,,,,,,
-marmar,Daakaka,-marmar,res,,,,,,,,,,,,,
mas,Daakaka,mas,aux,,,,,,,,,,,,,
mase,Daakaka,mase,n,,,,,,,,,,,,,
masta,Daakaka,masta,n,,,,,,,,,,,,,
maulumbeta,Daakaka,maulumbeta,n,,,,,,,,,,,,,
mayuk,Daakaka,mayuk,n,,,,,,,,,,,,,
me_1,Daakaka,me,v,,,,,,,,,,,,,
mea,Daakaka,mea,v,,,,,,,,,,,,,
meap,Daakaka,meap,n,,,,,,,,,,,,,
meas,Daakaka,meas,n,,,,,,,,,,,,,
meby-,Daakaka,meby-,n.rel.b,mebyuk,mebyum,,mebyun,,,,,,,,,
mebyu,Daakaka,mebyu,n,,,,,,,,,,,,,
mebyun_ebyate,Daakaka,mebyun ebyate,n,,,,,,,,,,,,,
mebyuneli,Daakaka,mebyuneli,n,,,,,,,,,,,,,
med,Daakaka,med,n.rel.b,,,,,,,,,,,,,
meda,Daakaka,meda,v,,,,,,,,,,,,,
medap,Daakaka,medap,v.itr,,,,,,,,,,,,,
medar,Daakaka,medar,v,,,,,,,,,,,,,
medical,Daakaka,medical,n,,,,,,,,English,,,,,
medir,Daakaka,medir,v,,,,,,,,,,,,,
medu,Daakaka,medu,n,,,,,,,mad,,,,,,
LX000034,Daakaka,medó,adj1,,,,,,,,,,,,,
meep,Daakaka,meep,v,,,,,,,,,,,,,
meerin,Daakaka,meerin,adv,,,,,,,,,,,,,
mees,Daakaka,mees,n,,,,,,,,,,,,,
mekis,Daakaka,mekis,v,,,,,,,,,,,,,
meleun,Daakaka,meleun,n,,,,,,,,,,,,,
melip,Daakaka,melip,v,,,,,,,,,,,,,
melipro,Daakaka,melipro,adj2,,,,,,,,,Dalkalaen: milipro `seven',,,,
melis,Daakaka,melis,v,,,,,,,,,,,,,
melomelo,Daakaka,melomelo,n,,,,,,,,,,,,,
melumlum,Daakaka,melumlum,adj1,,,,,,,,,,,,,
memelip,Daakaka,memelip,n,,,,,,,,,,,,,
memeo,Daakaka,memeo,v.tr,,,,,,,,,,,,,
memeop,Daakaka,memeop,v,,,,,,,,,,,,,
mena,Daakaka,mena,adj2,,,,,,,,,,,,,
menbuo,Daakaka,menbuo,n,,,,,,,,,,,,,
menok,Daakaka,menok,v,,,,,,,,,,,,,
menur,Daakaka,menur,n,,,,,,,,,,,1,,
meo,Daakaka,meo,n,,,,,,,,,,,,,
meomeo,Daakaka,meomeo,n,,,,,,,,,,,,,
meper,Daakaka,meper,num,,,,,,,,,,,,,
mer,Daakaka,mer,v,,,,,,,,,,,,,
merip,Daakaka,merip,n,,,,,,,,,,,,,
mermer,Daakaka,mermer,v,,,,,,,mer,,,,,,
mermeryaa,Daakaka,mermeryaa,n,,,,,,,,,,,,,
merwowo,Daakaka,merwowo,n,,,,,,,,,,,,,
mesaa,Daakaka,mesaa,adj1,,,,,,,,,,,,,
mesaa_1,Daakaka,mesaa,n,,,,,,,,,,,,,
mese,Daakaka,mese,v,,,,,,,,,,,,,
mesean,Daakaka,mesean,n,,,,,,,,,,,,,
mestem,Daakaka,mestem,v,,,,,kaakilye,,,Bislama,,,,,
mesu,Daakaka,mesu,v.itr,,,,,,,,,,,,,
mesu-,Daakaka,mesu-,n.rel.b,mesuk,mesum,,meson,,,,,,,u,,
mesus,Daakaka,mesus,n.rel,,,,,,,,,,,,,
mesuse,Daakaka,mesuse,v.tr,,,,,,,,,,,,,
mesusye,Daakaka,mesusye,v.tr,,,,,,,,,,,,,
mesyu,Daakaka,mesyu,n,,,,,,,,,,,1,,
mesyu_kaka,Daakaka,mesyu kaka,n,,,,,,,,,,,,,
mesyu_mermer,Daakaka,mesyu mermer,n,,,,,,,,,,,,,
met,Daakaka,met,n.rel.b,,,,,,,,,,,a,,
met-,Daakaka,met-,n.rel.b,metok,metam,,,,,,,,,,,
metas,Daakaka,metas,n,,,,,,,,,,,1,,
metavin,Daakaka,metavin,n,,,,,,,,,,,,,
metenir,Daakaka,metenir,n,,,,,,,,,,,,,
meteseli,Daakaka,meteseli,n,,,,,,,,,,,1,,
metetee,Daakaka,metetee,n,,,,,,,,,,,,,
metone,Daakaka,metone,prep,,,,,,,,,,,,,
metoo,Daakaka,metoo,n,,,,,,,,,,,,,
meu,Daakaka,meu,v,,,,,,,,,,,,,
meu_1,Daakaka,meu,adj,,,,,,,,,,,,,
meuan,Daakaka,meuan,n,,,,,,,,,,,,,
meulili,Daakaka,meulili,v,,,,,,,,,,,,,
meya,Daakaka,meya,adj,,,,,,,,,,,,,
mili,Daakaka,mili,n.rel,,,,,,,,,,,,,
milipsi,Daakaka,milipsi,num,,,,,,,,,,,,,
milipsyes,Daakaka,milipsyes,num,,,,,,,,,,,,,
milivyo,Daakaka,milivyo,num,,,,,,,,,,,,,
mily,Daakaka,mily,n.rel.b,,,,,,,,,,,i,,
mily-,Daakaka,mily-,n.rel.b,milik,milyem,,milyen,,,,,,,,,
milye,Daakaka,milye,adv,,,,,,,,,,,,,
mimilye,Daakaka,mimilye,adj1,,,,,,,,,,,,,
min_1,Daakaka,min,v,,,,,,,,,,,,,
min_2,Daakaka,min,n.rel.b,munukuli,minyemeli,,minyeneli,,,,,,minyeneli,,,
mini,Daakaka,mini,v,,,,,,,,,,,,,
minim,Daakaka,minim,v,,,,,tebólye ane,,,Bislama,,,,,
mining,Daakaka,mining,n,,,,,,,,Bislama,,,,,
miny,Daakaka,miny,n.rel.b,munukuli,minyemeli,,minyeneli,,,,,,minyeneli,"u, i",,
minyep,Daakaka,minyep,n,,,,,,,,,,,,,
minyes,Daakaka,minyes,adj1,,,,,,,,,,,,,
minyo,Daakaka,minyo,v,,,,,,,,,,,,,
mir,Daakaka,mir,adj1,,,,,,,,,,,,,
misen,Daakaka,misen,n,,,,,,,,Bislama,,,,,
misii,Daakaka,misii,adj,,,,,,,,,,,,,
misis,Daakaka,misis,n,,,,,,,,Bislama,,,,,
misy,Daakaka,misy,n.rel.b,misyuk,misyam,,,,,,,,misyan,a,,
misya,Daakaka,misya,n.rel,,,,,,,,,,,,,
misyu,Daakaka,misyu,n,,,,,,,,,,,1,,
mit,Daakaka,mit,n,,,,,,,,Bislama,,,,,
mitye,Daakaka,mitye,v,,,,,,,,,,,,,
miy-,Daakaka,miy-,n.rel.b,miyok,miyam,,miyan,,,,,,,a,,
miyaa,Daakaka,miyaa,v,,,,,,,,,,,,,
miye,Daakaka,miye,n.rel,,,,,,,,,,,,,
mmm,Daakaka,mmm,intj,,,,,,,,,,,,,
mo,Daakaka,mo,intj,,,,,,,,,,,,,
mo_1,Daakaka,mo,adv,,,,,,,,,,,,,
mo_2,Daakaka,mo,tam,,,,,,,,,,,,,
mobael,Daakaka,mobael,n,,,,,,,,Bislama,,,,,
mokote,Daakaka,mokote,v.tr,,,,,,,,,,,,,
moliline,Daakaka,moliline,v,,,,,,,,,,,,,
molis,Daakaka,molis,v,,,,,,,molisi,,,,,,
molisi,Daakaka,molisi,v,,,,,,,,,,,,,
momo,Daakaka,momo,adj1,,,,,,,,,,,,,
mon,Daakaka,mon,contr.ptcl,,,,,,,,,,,,,
moomoo,Daakaka,moomoo,n,,,,,,,,,,,,,
moore,Daakaka,moore,n,,,,,,,,,,,,,
moos,Daakaka,moos,v,,,,,,,,,,,,,
mop_1,Daakaka,mop,n,,,,,,,,,,,,,
mop_2,Daakaka,mop,v.itr,,,,,,,,,,,,,
moseaa,Daakaka,moseaa,v.tr,,,,,,,,,,,,,
motase,Daakaka,motase,v.tr,,,,,,,,,,,,,
motitiye,Daakaka,motitiye,v,,,,,,,,,,,,,
mowus,Daakaka,mowus,v,,,,,,,,,,,,,
mu_1,Daakaka,mu,n,,,,,,,,,,,,,
mu_2,Daakaka,mu,v,,,,,,,,,,,,,
mu_3,Daakaka,mu,tam,,,,,,,,,,,,,
mubuo,Daakaka,mubuo,n,,,,,,,,,,,,,
mur,Daakaka,mur,n,,,,,,,,,,,,,
mur_1,Daakaka,mur,v,,,,,,,,,,,,,
mursi,Daakaka,mursi,q,,,,,,,mur ; murswa,,,,,,
murswa,Daakaka,murswa,q,,,,,,,mur ; mursi,,,,,,
musik,Daakaka,musik,n,,,,,,,,Bislama,,,,,
mw-,Daakaka,mw-,tam,,,,,,,,,,,,,
mwe,Daakaka,mwe,tam,,,,,,,,,,,,,
mwede,Daakaka,mwede,qu,,,,,,,,,,,,,
mwei,Daakaka,mwei,adv,,,,,,,,,,,,,
mwelili,Daakaka,mwelili,adj1,,,,,,,,,,,,,
mwer,Daakaka,mwer,adj1,,,,,,,,,,,,,
mwes,Daakaka,mwes,res,,,,,,,,,,,,,
mwimwilye,Daakaka,mwimwilye,v,,,,,,,,,,,,,
mwisyen,Daakaka,mwisyen,v,,,,,,,,,,,,,
myaa,Daakaka,myaa,n,,,,,,,,,,,,,
myaa_1,Daakaka,myaa,n,,,,,,,,,,,,,
myadi,Daakaka,myadi,n.rel,,,,,,,,,,,,,
myaek_1,Daakaka,myaek,v,,,,,,,,,,,,,
myaek_2,Daakaka,myaek,n,,,,,,,limyaek,,,,,,
myaek_3,Daakaka,myaek,n,,,,,,,,,,,,,
myaer,Daakaka,myaer,n,,,,,,,,,,,,,
LX000035,Daakaka,myaer sema ó,n,,,,,,,,,,,,,
myage,Daakaka,myage,n,,,,,,,,,,,,,
myagom,Daakaka,myagom,n,,,,,,,,,,,,,
myali,Daakaka,myali,n,,,,,,,,,,,,,
myalyes,Daakaka,myalyes,n,,,,,,,,,,,,,
myan,Daakaka,myan,v,,,,,,,,,,,,,
myan_kikisi,Daakaka,myan kikisi,v,,,,,,,,,,,,,
myan_silye,Daakaka,myan silye,v.tr,,,,,,,,,,,,,
myane,Daakaka,myane,prep,,,,,,,,,,,,,
myanok,Daakaka,myanok,n,,,,,,,,,,,1,,
myanokep,Daakaka,myanokep,n,,,,,,,,,,,,,
myantung,Daakaka,myantung,n,,,,,,,,,,,,,
myaop,Daakaka,myaop,n,,,,,,,,,,,1,,
myaor,Daakaka,myaor,n,,,,,,,,,,,4,,
myap,Daakaka,myap,adj1,,,,,,,,,,,,,
myar_1,Daakaka,myar,v.itr,,,,,,,,,,,,,
myar_2,Daakaka,myar,v,,,,,,,,,,,,,
myar_3,Daakaka,myar,n,,,,,,,,,,,,,
myar_4,Daakaka,myar,res,,,,,,,,,,,,,
myar_5,Daakaka,myar,adj,,,,,,,,,,,,,
myar_6,Daakaka,myar,adj,,,,,,,,,,,,,
myar_bwii,Daakaka,myar bwii,n,,,,,,,,,,,,,
myar_bwii_1,Daakaka,myar bwii,n,,,,,,,,,,,,,
myar_sanga,Daakaka,myar sanga,n,,,,,,,,,,,,,
myarane,Daakaka,myarane,v.tr,,,,,,,,,,,,,
myas,Daakaka,myas,v,,,,,,,,,,,,,
LX000036,Daakaka,myató,adj1,,,,,,,,,,,,,
LX000037,Daakaka,myató,adj1,,,,,,,,,,,,,
myen,Daakaka,myen,v,,,,,,,,,,,,,
myoomyoo,Daakaka,myoomyoo,n,,,,,,,,,,,,,
myor,Daakaka,myor,v,,,,,,,,,,,,,
myoran,Daakaka,myoran,n,,,,,,,,,,,,,
n,Daakaka,n,n.rel.b,,,,,,,,,,,,,
n-,Daakaka,n-,tam,,,,,,,,,,,,,
-n,Daakaka,-n,tam,,,,,,,,,,,,,
na,Daakaka,na,tam,,,,,,,,,,,,,
na_1,Daakaka,na,sbj.agr,,,,,,,,,,,,,
na_2,Daakaka,na,gram,,,,,,,,,,,,,
naana,Daakaka,naana,n,,,,,,,,,,,,,
naarop,Daakaka,naarop,adv,,,,,,,,,,,,,
naim,Daakaka,naim,n,,,,,,,,,,,,,
nakamal,Daakaka,nakamal,n,,,,,,,,Bislama,,,,,
naknak,Daakaka,naknak,v,,,,,,,,,,,,,
namba,Daakaka,namba,n,,,,,,,,Bislama,,,,,
nanges,Daakaka,nanges,qu,,,,,,,,,,,,,
nasara,Daakaka,nasara,n,,,,,,,,Bislama,,,,,
nat,Daakaka,nat,n.rel.b,netuk,natom,,naten,,,,,,naten,e,,
nat-,Daakaka,nat-,n.rel.b,netuk,natom,,naten,,,,,,,,,
ne,Daakaka,ne,n.rel,,,,,,,,,,,,,
ne_1,Daakaka,ne,gram,,,,,,,,,,,,,
ne_2,Daakaka,ne,tam,,,,,,,,,,,,,
ne_3,Daakaka,ne,tam,,,,,,,,,,,,,
ne_4,Daakaka,ne,prep,,,,,,,,,,,,,
-ne,Daakaka,-ne,gram,,,,,,,,,,,,,
-ne_1,Daakaka,-ne,gram,,,,,,,,,,,,,
nek,Daakaka,nek,v,,,,,,,,,,,,,
nena,Daakaka,nena,n,,,,,,,,,,,,,
nenyu,Daakaka,nenyu,adv,,,,,,,,,,,,,
nep,Daakaka,nep,adj1,,,,,,,,,,,,,
nesye,Daakaka,nesye,n,,,,,,,,,,,,,
net,Daakaka,net,n.rel.b,,,,,,,nat,,,netuk,,,
neti,Daakaka,neti,n.rel,,,,,,,,,,,,,
netkaven,Daakaka,netkaven,n,,,,,,,,,,,,,archaic
ngaa,Daakaka,ngaa,v,,,,,,,,,,,,,
ngabak,Daakaka,ngabak,contr.ptcl,,,,,,,,,,,,,
ngabwe,Daakaka,ngabwe,contr.ptcl,,,,,,,,,,,,,
ngangais,Daakaka,ngangais,v,,,,,,,,,,,,,archaic
ngapngap,Daakaka,ngapngap,v,,,,,,,,,,,,,
ngase,Daakaka,ngase,v.tr,,,,,,,,,,,,,
nge,Daakaka,nge,NA,,,,,,,,,,,,,
nge_1,Daakaka,nge,pron,,,,,,,,,,,,,
ngebe,Daakaka,ngebe,qu,,,,,,,,,,,,,
ngir,Daakaka,ngir,n.tr,,,,,,,,,,,,,
ngivi,Daakaka,ngivi,v,,,,,,,,,,,,,
ngok,Daakaka,ngok,pron,,,,,,,,,,,,,
ngongo,Daakaka,ngongo,n,,,,,,,,,,ngongo vis,,,
ngu,Daakaka,ngu,v,,,,,,,,,,,,,
ngulye,Daakaka,ngulye,v,,,,,,,,,,,,,
ngunguo,Daakaka,ngunguo,adj1,,,,,,,,,,,,,
ngur,Daakaka,ngur,n,,,,,,,,,,,,,
nguwane,Daakaka,nguwane,v,,,,,,,,,,,,,
ngye,Daakaka,ngye,n,,,,,,,,,,,3,,
ni,Daakaka,ni,tam,,,,,,,,,,,,,
nidil,Daakaka,nidil,n,,,,,,,,Bislama,,,,,
nidim,Daakaka,nidim,v,,,,,,,,,,,,,
nii,Daakaka,nii,v.itr,,,,,,,,,,,,,
nil,Daakaka,nil,n,,,,,,,,Bislama,,,,,
nin_meuan,Daakaka,nin meuan,n,,,,,,,,,,,,,
nip,Daakaka,nip,n,,,,,,,,,,,,,
nip_1,Daakaka,nip,adj1,,,,,,,,,,,,,
nip_ane_tes,Daakaka,nip ane tes,n,,,,,,,,,,,,,
nirnir,Daakaka,nirnir,adj1,,,,,,,,,,,,,
nius,Daakaka,nius,n,,,,,,,,Bislama,,,,,
nok,Daakaka,nok,v,,,,,,,,,,,,,
nokis,Daakaka,nokis,q,,,,,,,,,,,,,
nor,Daakaka,nor,n,,,,,,,,,,,,,
nu,Daakaka,nu,tam,,,,,,,,,,,,,
